example,size,c_iters,julia_iters,c_total_ms,julia_total_ms,c_lin_ms,julia_lin_ms,c_prox_ms,julia_prox_ms
box,small,72.610000,72.510000,0.100000,0.190000,0.000000,0.000000,0.000000,0.000100
box,medium,35.050000,35.120000,0.870000,0.780000,0.020000,0.020000,0.000200,0.000100
box,large,39.540000,38.470000,9.390000,7.260000,0.230000,0.180000,0.001200,0.000500
finance,small,5.070000,4.960000,0.070000,0.080000,0.010000,0.010000,0.000800,0.000600
finance,medium,5.890000,5.800000,1.200000,1.130000,0.190000,0.180000,0.005900,0.004600
finance,large,4.780000,4.670000,4.930000,8.030000,0.970000,1.650000,0.019600,0.012500
rob_est,small,7.540000,7.770000,0.090000,0.240000,0.010000,0.030000,0.000500,0.000700
rob_est,medium,7.980000,8.060000,1.380000,1.230000,0.160000,0.130000,0.002600,0.003600
rob_est,large,7.720000,7.740000,6.270000,8.580000,0.760000,1.050000,0.008200,0.005400
sup_ch,small,21.930000,22.070000,1.520000,1.110000,0.000000,0.010000,0.064100,0.037600
sup_ch,medium,30.950000,32.580000,9.410000,3.830000,0.020000,0.030000,0.274800,0.084400
sup_ch,large,24.210000,24.650000,24.370000,8.640000,0.080000,0.130000,0.893300,0.179700
