example,size,c_iters,julia_iters,c_total_ms,julia_total_ms,c_lin_ms,julia_lin_ms,c_prox_ms,julia_prox_ms
box,small,92.000000,92.000000,0.150000,0.460000,0.000000,0.000000,0.000000,0.000100
box,medium,46.000000,46.000000,1.150000,2.090000,0.020000,0.040000,0.000200,0.000200
box,large,68.000000,68.000000,16.630000,14.480000,0.240000,0.200000,0.001200,0.000600
finance,small,27.000000,27.000000,0.380000,0.480000,0.010000,0.020000,0.000700,0.000600
finance,medium,41.000000,41.000000,8.400000,9.490000,0.190000,0.210000,0.005700,0.004300
finance,large,53.000000,53.000000,55.180000,85.910000,0.990000,1.560000,0.018800,0.011500
rob_est,small,21.000000,21.000000,0.250000,0.620000,0.010000,0.030000,0.000400,0.000800
rob_est,medium,25.000000,25.000000,4.400000,5.710000,0.160000,0.210000,0.002600,0.003700
rob_est,large,29.000000,29.000000,23.570000,33.210000,0.770000,1.090000,0.008500,0.005100
sup_ch,small,82.000000,82.000000,5.760000,2.930000,0.000000,0.010000,0.065000,0.027000
sup_ch,medium,77.000000,77.000000,24.190000,10.230000,0.020000,0.030000,0.284000,0.093200
sup_ch,large,116.000000,116.000000,110.720000,44.770000,0.080000,0.130000,0.848900,0.220600
